1648545428,HC_HW,oohira,"@m.hikichi.1969引地政征さん
@y-sato佐藤幸夫さん
@ogawa小川昌宏さん
@ishiduka石塚哲也さん
@a-sawatari佐渡新さん
Googleカレンダーですが、通常のGmailで作成したアカウントからは予定の内容が確認できないことがわかりましたので再度予定を作成し直しました。
再度通知を出しましたので、追加していただけると助かります。
追加しても予定の内容が見えない等ありましたら、教えていただけると幸いです。"
1648545737,HC_HW,nakajima,"@oohira大平拓麻さん
nakajima19880419@gmail.com"
1648545786,HC_HW,a-sawatari,"@m.hikichi.1969引地政征さん
とりあえず a-sawatari@nkhs.ac.jp でアカウントの作成を行いました。"
1648547211,HC_HW,m.hikichi.1969,"@a-sawatari佐渡新さん
Member Hubにサインインしようとするとどうなります？"
1648549848,HC_HW,a-sawatari,"@m.hikichi.1969引地政征さん
口頭でもお伝えしましたが、サインインできませんでした。
講師承認のペンディングみたいなので、明日またトライしてみます。"
1648599176,HC_HW,y-sato,">@y-sato: 2022-03-27 10:09:03 +0900
>@ogawa小川昌宏さん
>@ishiduka石塚哲也さん
>@m.hikichi.1969引地政征さん
>@a-sawatari佐渡新さん
>来週の3/30-31のいずれかでHC/HA打合せをしたいと思います。だめな日があれば教えて下さい。
>内容は以下を予定しています。
>・１年生オリエンテーションの流れの確認と1年生のGW前までの科目担当確認など（事前に石塚先生、佐渡先生、大平先生で決めてこの打合せで情報共有と検討が望ましいです）
>・２年生の国家試験本番までのスケジュール確認（同上です）
>・２０２２年度の年間スケジュールの確認
>・卒業研究チーム数とテーマについて
>・２０２２年度の学科目標について
本日の１５：３０〜実施にしようと思いますが大丈夫ですか？"
1648600177,HC_HW,y-sato,"@ishiduka石塚哲也さん
@a-sawatari佐渡新さん
@oohira大平拓麻さん
池口ですが、住民票やマイナンバーカードなどの手続きがあるとのことで明日に休んで対応してもらうことにしました。
なので明日は池口は休みです。"
1648601512,HC_HW,a-sawatari,"@y-sato佐藤幸夫さん
すみません、16:00からでお願いできますでしょうか？"
1648601649,HC_HW,y-sato,"@a-sawatari佐渡新さん
わかりました。１６時からでお願いします。"
1648622775,HC_HW,oohira,"@y-sato佐藤幸夫さん
すみません、こちらの打ち合わせはどの場所で行う予定でしょうか。"
1648625198,HC_HW,a-sawatari,"@y-sato佐藤幸夫さん
申し訳ありません、面接が終わった学生を寮まで送りに行きます。"
1648627550,HC_HW,y-sato,"@ogawa小川昌宏さん
@ishiduka石塚哲也さん
@m.hikichi.1969引地政征さん
@a-sawatari佐渡新さん
@oohira大平拓麻さん
始める前にまた連絡します。今日開催できなかったらすみません。"
1648631068,HC_HW,ishiduka,"@m.hikichi.1969引地政征さん
@y-sato佐藤幸夫さん
@ogawa小川昌宏さん
@a-sawatari佐渡新さん
@oohira大平拓麻さん
DSで実施するのでDSに集まってください。よろしくお願いします。"
1648632486,HC_HW,y-sato,"@ishiduka石塚哲也さん
合流までもう少しかかるのでそのまま進めててください。"
1648685194,HC_HW,a-sawatari,"@ogawa小川昌宏さん
233教室の無線LAN APを付け替えました。
HGLとHK共用で利用することを想定しています。
SSIDは 233_2.4GHz_Free と 233_5GHz_Free でパス無しとしています。"
1648692488,HC_HW,y-sato,"@a-sawatari佐渡新さん
事務局より
```

HC入学予定の一戸輝（いちのへひかる）さんより、家族にコロナ陽性者が出たというご連絡がありました。
本人は現在PCR検査の結果待ちということです。陰性の場合でも4/6までは自宅待機とのことでした。
結果がわかればまたお電話いただけるよう伝えてあります。

```"
1648694056,HC_HW,y-sato,"入学式会場設営を４月４日の入学式打合せ後に行う予定ですが、可能であれば一部情報処理科の学生の手も借りたいと思っています。
スケジュール的に可能であればよろしくお願いします。"
1648700721,HC_HW,y-sato,"@m.hikichi.1969引地政征さん
全科新入生対象の大学編入科目履修についての説明会ですが
４月１８日（月）の１６：００からで設定しようと思いますが都合はどうですか？"
1648707536,HC_HW,y-sato,"@nakajima中嶋祐介さん
@ishiduka石塚哲也さん
@a-sawatari佐渡新さん
@oohira大平拓麻さん
２０２２年度の土曜OC出勤表と振替休日の表を作成しました。確認をお願いします。
変更希望がある場合は教えて下さい。
https://docs.google.com/spreadsheets/d/1SlIP5tTVmc9uPG35zZK_FOpvnMc3CVdTQ0f32DbmFGI/edit?usp=sharing"
1648798391,HC_HW,y-sato,"[toall]
明日は休校です。一応確認したら開けないということなので気をつけてください。"
1648799311,HC_HW,m.hikichi.1969,"@y-sato佐藤幸夫さん
会議が１６：００終了予定ではいりました。会議が伸びた場合は対応しておいていただければ。"
1648802999,HC_HW,a-sawatari,"[toall]
本日の大平先生の歓迎会ですが、19:00開始に変更します。
ひつじやには連絡済みです。"
1648803917,HC_HW,oohira,"@a-sawatari佐渡新さん
承知しました！"
1649033475,HC_HW,y-sato,"@ishiduka石塚哲也さん
@a-sawatari佐渡新さん
@oohira大平拓麻さん
10時から入学式会場準備になりました。よろしくお願いします。"
1649036027,HC_HW,a-sawatari,"@y-sato佐藤幸夫さん
提出が遅れ、申し訳ありません。
ニコスタキャンプのタイムラインと研修メニュー表を送付します。
ご確認の程よろしくお願い申し上げます。
```
[title]ファイルアップロード[/title][download:928556879]2022_ニコスタキャンプ_タイムライン_情報処理科・ITスペシャリスト科.xlsx (22.70 KB)[/download]
```"
1649036028,HC_HW,a-sawatari,"```
[title]ファイルアップロード[/title][download:928556880]2022_ニコスタキャンプ_研修メニュー表_情報処理科・ITスペシャリスト科.docx (19.03 KB)[/download]
```"
1649040444,HC_HW,a-sawatari,"@ogawa小川昌宏さん
@m.hikichi.1969引地政征さん
@y-sato佐藤幸夫さん
@ishiduka石塚哲也さん
@oohira大平拓麻さん
模擬試験週間の欠席は下記のスプレッドシートでまとめようと思います。
欠席した人を記入していく形でお願いします。
https://docs.google.com/spreadsheets/d/19MRUuHHu5i7xl0ZeOO7zwoSN6N84S82_m3Puk8mebzY/edit?usp=sharing

@oohira大平拓麻さん
まだ学生がわからないと思うので、佐渡と一緒にチェックする形で進めましょう。"
1649041377,HC_HW,oohira,"@a-sawatari佐渡新さん
すみません、宜しくお願い致します。"
1649044527,HC_HW,y-sato,"@ishiduka石塚哲也さん
奨学金適格認定の警告対象者がいます。成績が下位４分の１にはいっている。
給付奨学金
HA03-1005	丸　連太郎
HA03-1010	明神　秀哉
HC40-1040	工藤　貴斗
貸与奨学金
HC40-1034	中村　翔太

資格を取ったり成績が問題なければ警告を出さなくても大丈夫になります。
学生指導の観点から警告を出したほうが良いという場合はそのまま警告を出します。
警告を出したとしても奨学金は今回は止まりません。４年制の場合は続くとまずいですが・・"
1649046942,HC_HW,a-sawatari,"@ishiduka石塚哲也さん
@oohira大平拓麻さん
明日以降の模擬試験は下記フォルダに配置した座席表通りに着席してもらおうと思います。
https://drive.google.com/drive/folders/1w0q-ZD9Sjy06_XHe50dFDDOnDn707w0_

紙でも印刷して教室に掲示します。"
1649048677,HC_HW,m.hikichi.1969,"@a-sawatari佐渡新さん
今オラクルからメールで佐渡先生が登録されたと届きました。今来たということは人力ですねこれ。
ログインしてみてください。"
