2017-01-26T16:05:54+09:00,2225534,"[info][title][dtext:chatroom_groupchat_created][/title][dtext:chatroom_chatname_is]情報処理科[dtext:chatroom_set]

[dtext:chatroom_description_is]情報処理科の連絡はここで行います。[dtext:chatroom_set]

[dtext:chatroom_member_is][piconname:2225534][dtext:chatroom_added][/info]"
2017-01-26T16:35:43+09:00,2225534,[info][dtext:chatroom_member_is][piconname:2242090][dtext:chatroom_added][/info]
2017-01-26T16:36:01+09:00,2225534,[info][title][dtext:chatroom_chat_edited][/title][dtext:chatroom_icon_updated][/info]
2017-01-26T16:36:20+09:00,2225534,"[To:2242090] 小川昌宏さん
よろしくお願いします。"
2017-01-26T16:36:22+09:00,2242090,hello　world
2017-01-27T09:44:52+09:00,2225534,[info][dtext:chatroom_member_is][piconname:2242832][dtext:chatroom_added][/info]
2017-01-27T11:20:01+09:00,2225534,[info][dtext:chatroom_member_is][piconname:2242960][dtext:chatroom_added][/info]
2017-01-27T11:20:01+09:00,2225534,[info][dtext:chatroom_member_is][piconname:2242960][dtext:chatroom_added][/info]
2017-01-27T12:03:46+09:00,2225534,[info][title][dtext:file_uploaded][/title][download:128720799]御見積書(日本工学院北海道専門学校様_年刊マスキー_H29.01).pdf (96.79 KB)[/download][/info]
2017-01-27T12:03:50+09:00,2225534,[info][title][dtext:file_uploaded][/title][download:128720828]日本工学院北海道専門学校様_年刊マスキー_スケジュール.pdf (25.08 KB)[/download][/info]
2017-01-27T12:04:20+09:00,2225534,日光印刷に連絡し、年刊マスキーの見積とスケジュールを貰いました。
2017-01-27T12:04:33+09:00,2225534,確認よろしくお願いします。
2017-01-27T12:20:17+09:00,2242960,[info][title][dtext:file_uploaded][/title][download:128726439]観光ビジネスシラバスv2.doc (705.50 KB)[/download][/info]
2017-01-27T12:20:28+09:00,2242960,"シラバス変更の件

カリキュラム変更はないので定型的な変更が主ですが。シラバスをH29年度用に変更しましょう。
引地担当分については、内容を更新しました。教師用の学事シラバスに置きました。
各科目担当者は自分の関わるところを点検してください。

情報処理科シラバスの全体の更新は石塚先生にお願いします。

ビジネス学科のシラバスは小川先生お願いします。
日本語系学科の科目名変更について確定したいです。
手塚先生からは担当分についてデータもらっています。"
2017-01-27T12:21:27+09:00,2242960,[info][title][dtext:task_added][/title][task aid=2242832 st=open lt=1485874799]処理科のシラバスの作成[/task][/info]
2017-01-27T12:21:49+09:00,2242960,[info][title][dtext:task_added][/title][task aid=2242090 st=open lt=1485874799]ビジネス学科のシラバス作成[/task][/info]
2017-01-27T12:34:59+09:00,2242832,[info][title][dtext:task_done][/title][task aid=2242832 st=done lt=1485874799]処理科のシラバスの作成[/task][/info]
2017-01-27T12:35:01+09:00,2242832,[info][title][dtext:task_reverted][/title][task aid=2242832 st=open lt=1485874799]処理科のシラバスの作成[/task][/info]
2017-01-27T16:17:35+09:00,2225534,高島さんの写真撮影スケジュールで、情報処理科の撮影が水曜日だったので、自分だけ火曜日の医療秘書科の時間帯に撮ってもらうように高島さんに返信しておきます。
2017-01-27T16:50:14+09:00,2242090,[info][title][dtext:file_uploaded][/title][download:128818671]観光ビジネスシラバスv3.doc (736.50 KB)[/download][/info]
2017-01-27T16:50:47+09:00,2242090,"ビジネス学科シラバスVer3
・ホテル業務日本語会話→ホテル業務会話
・ビジネス日本語対応→ビジネス対応
・接客日本語→接客対応
※担当者が未確定で空欄続出ですがどうしましょう？

手塚先生担当分は盛り込んであります！"
2017-01-27T16:56:48+09:00,2242090,[info][title][dtext:file_uploaded][/title][download:128821253]2017_ビジネス学科_履修系統図.doc (71.50 KB)[/download][/info]
2017-01-27T16:57:04+09:00,2242090,ビジネス学科履修系統図です！
2017-01-28T18:23:13+09:00,2242960,"[rp aid=2242090 to=64654741-1738306468] 小川昌宏さん
担当者は「未定」としておきましょうか。"
